Supplier ID,SKU ID,Price/unit,Stock Available
S1-FIX-1,PLT-SPHC1000,5596216.216,1
S1-FIX-1,PLT-SPHC0400,1789729.73,3
S1-FIX-1,PLT-SPHC0500,2390540.541,5
S1-FIX-1,PLT-SPHC0600,3008783.784,4
S1-FIX-1,PLT-SPHC1200-GG,3640765.766,11
S1-FIX-1,SIK-100100-IBB,1066572.973,30
S1-FIX-1,SIK-120120-IBB,1540090.09,5
S1-FIX-1,SIK-040040-IBB,166129.7297,51
S1-FIX-1,SIK-050050-IBB,259720.7207,72
S1-FIX-1,SIK-060060-IBB,372075.6757,8
S1-FIX-1,SIK-070070-IBB,506627.027,8
S1-HSC-1,PIP-SCH404,1559459.459,3
S1-HSC-1,PIP-SCH4060,2727027.027,3
S1-HSC-1,PIP-SCH4080,4163063.063,2
S1-HSC-1,PLT-SPHC1200-GG,3544144.144,11
S1-HSC-1,SIK-100100-IBB,990990.991,30
S1-HSC-1,SIK-120120-IBB,1447747.748,30
S1-HSC-1,SIK-040040-IBB,143694,51
S1-HSC-1,SIK-060060-IBB,324775,112
S1-HSC-1,SIK-070070-IBB,443243,24
S1-HSC-1,SIK-080080-IBB,633783.7838,24
S1-HSC-1,SIK-090090-KS,804504.5045,52
S1-HSC-1,UNP-200,2266667,6
S1-HSC-1,PLT-SPHC0155,518919,50
S1-HSC-1,PLT-SPHC0180,582702.7027,50
S1-HSC-1,UNP-120,1968468.468,10
S1-ISB-1,UNP-200,4387387.387,6
S1-ISB-1,PLT-BRDS0230,828828.8288,100
S1-ISB-1,PLT-SPHC0120,400900.9009,170
S1-KPS-1,PLT-SPHC0150,504504.5045,20
S1-KPS-1,PLT-SPHC0200,627027.027,15
S1-PSB-1,PLT-SPHC0026,788288.2883,10
S1-PSB-1,PLT-SPHC0280,855855.8559,20
S1-PSB-1,SIK-100100-IBB,1576767.568,30
S1-PSB-1,SIK-120120-IBB,2366674.775,12
S1-SAM-1,SIK-040040-IBB,151577.4775,51
S1-SAM-1,SIK-050050-IBB,475662.1622,72
S1-SSC-1,SIK-060060-IBB,687067.5676,112
S1-SSC-1,SIK-070070-IBB,468262.1622,124
S1-SSC-1,SIK-080080-IBB,1233198.198,20
S1-SSC-1,WFL-300-GG,7040000,8
S1-SSC-1,PLT-KPL0100,9864865,2
S1-SSC-1,SIK-050050-IBB,189189,72
S1-SSC-1,SIK-120120-IBB,1261261.261,5
S1-SSC-1,SIK-040040-IBB,144144.1441,51
S1-SUM-1,SIK-050050-IBB,189189.1892,72